,Theta,Phi
31,0.0,0.0
114,15.858737205730524,-90.0
110,15.858737205730524,90.0
113,18.00000000000003,-148.282525588539
150,18.00000000000003,-31.717474411461005
147,18.00000000000003,31.717474411461005
111,18.00000000000003,148.282525588539
106,30.382466895515538,-120.92089564577029
149,30.382466895515538,-59.079104354229706
148,30.382466895515538,59.079104354229706
112,30.382466895515538,120.92089564577029
4,31.717474411460998,-90.0
5,31.717474411460998,90.0
145,31.71747441146101,0.0
109,31.71747441146101,180.0
29,36.0,-148.282525588539
40,36.0,-31.717474411461005
39,36.0,31.717474411461005
30,36.0,148.282525588539
75,45.40857798699745,-103.03529263892649
77,45.40857798699745,-76.96470736107352
124,45.40857798699745,76.96470736107352
116,45.40857798699745,103.03529263892649
103,46.06988347540378,-167.11303324099183
146,46.06988347540378,-12.88696675900819
144,46.06988347540378,12.88696675900819
108,46.06988347540378,167.11303324099183
105,46.51292225447823,-125.88975465958409
153,46.51292225447823,-54.11024534041592
158,46.51292225447823,54.11024534041592
117,46.51292225447823,125.88975465958409
104,54.0,-148.282525588539
151,54.0,-31.71747441146101
155,54.0,31.71747441146101
115,54.0,148.282525588539
76,58.28252558853898,-90.0
123,58.28252558853898,90.0
9,58.282525588538995,0.0
11,58.282525588538995,180.0
22,59.99999999999999,-110.90515744788931
21,59.99999999999999,-69.0948425521107
33,59.99999999999999,69.0948425521107
32,59.99999999999999,110.90515744788931
98,64.28540741892449,-163.23427861734098
137,64.28540741892449,-16.765721382659034
154,64.28540741892449,16.765721382659034
91,64.28540741892449,163.23427861734098
107,64.82873782806323,-130.50070501242
152,64.82873782806323,-49.49929498758001
156,64.82873782806323,49.49929498758001
118,64.82873782806323,130.50070501242
28,72.0,-148.282525588539
37,72.0,-31.71747441146101
41,72.0,31.71747441146101
26,72.0,148.282525588539
139,74.1412627942695,0.0
93,74.1412627942695,180.0
79,74.75983771732217,-99.69372389531482
73,74.75983771732217,-80.3062761046852
121,74.75983771732217,80.3062761046852
126,74.75983771732217,99.69372389531482
80,74.93635125600572,-116.7006106447216
72,74.93635125600572,-63.2993893552784
120,74.93635125600572,63.2993893552784
119,74.93635125600572,116.7006106447216
99,80.65029645742543,-164.54956291367418
138,80.65029645742543,-15.450437086325833
159,80.65029645742543,15.450437086325833
92,80.65029645742543,164.54956291367418
101,80.75699677304884,-134.66070327825318
141,80.75699677304884,-45.339296721746834
157,80.75699677304884,45.339296721746834
95,80.75699677304884,134.66070327825318
100,90.0,-148.282525588539
2,90.0,-121.717474411461
78,90.0,-105.8587372057305
23,90.0,-90.0
74,90.0,-74.1412627942695
3,90.0,-58.282525588538995
140,90.0,-31.71747441146101
38,90.0,0.0
160,90.0,31.71747441146101
1,90.0,58.282525588538995
122,90.0,74.1412627942695
34,90.0,90.0
125,90.0,105.8587372057305
0,90.0,121.717474411461
94,90.0,148.282525588539
27,90.0,180.0
45,99.24300322695115,-134.66070327825318
83,99.24300322695115,-45.339296721746834
133,99.24300322695115,45.339296721746834
54,99.24300322695115,134.66070327825318
102,99.34970354257459,-164.54956291367418
143,99.34970354257459,-15.450437086325833
161,99.34970354257459,15.450437086325833
97,99.34970354257459,164.54956291367418
47,105.06364874399429,-116.7006106447216
81,105.06364874399429,-63.2993893552784
127,105.06364874399429,63.2993893552784
56,105.06364874399429,116.7006106447216
90,105.24016228267784,-99.69372389531482
88,105.24016228267784,-80.3062761046852
128,105.24016228267784,80.3062761046852
131,105.24016228267784,99.69372389531482
142,105.8587372057305,0.0
96,105.8587372057305,180.0
13,108.0,-148.282525588539
25,108.0,-31.71747441146101
36,108.0,31.71747441146101
16,108.0,148.282525588539
46,115.17126217193677,-130.50070501242
82,115.17126217193677,-49.49929498758001
132,115.17126217193677,49.49929498758001
55,115.17126217193677,130.50070501242
50,115.71459258107551,-163.23427861734098
86,115.71459258107551,-16.765721382659034
135,115.71459258107551,16.765721382659034
59,115.71459258107551,163.23427861734098
12,120.00000000000001,-110.90515744788931
24,120.00000000000001,-69.0948425521107
35,120.00000000000001,69.0948425521107
15,120.00000000000001,110.90515744788931
89,121.71747441146103,-90.0
8,121.71747441146103,0.0
129,121.71747441146103,90.0
10,121.71747441146103,180.0
49,126.0,-148.282525588539
87,126.0,-31.71747441146101
136,126.0,31.71747441146101
58,126.0,148.282525588539
43,133.4870777455218,-125.88975465958409
84,133.4870777455218,-54.11024534041592
134,133.4870777455218,54.11024534041592
52,133.4870777455218,125.88975465958409
48,133.93011652459623,-167.11303324099183
68,133.93011652459623,-12.88696675900819
66,133.93011652459623,12.88696675900819
57,133.93011652459623,167.11303324099183
42,134.59142201300256,-103.03529263892649
85,134.59142201300256,-76.96470736107352
130,134.59142201300256,76.96470736107352
51,134.59142201300256,103.03529263892649
14,144.0,-148.282525588539
19,144.0,-31.717474411461005
20,144.0,31.717474411461005
17,144.0,148.282525588539
67,148.282525588539,0.0
71,148.282525588539,180.0
6,148.28252558853902,-90.0
7,148.28252558853902,90.0
44,149.61753310448447,-120.92089564577029
63,149.61753310448447,-59.079104354229706
62,149.61753310448447,59.079104354229706
53,149.61753310448447,120.92089564577029
70,161.99999999999997,-148.282525588539
64,161.99999999999997,-31.717474411461005
61,161.99999999999997,31.717474411461005
69,161.99999999999997,148.282525588539
65,164.1412627942695,-90.0
60,164.1412627942695,90.0
18,180.0,0.0
