,Theta,Phi
0,0.0,0.0
1682,1.6739317694510296,-135.00000398408832
2357,1.6739317694510296,-45.00000830979934
332,1.6739317694510296,45.00000125223908
1007,1.6739317694510296,135.00000034162267
1352,3.5107349491897137,-179.99999499104368
2027,3.5107349491897137,-89.99999931675467
1,3.5107349491897137,0.0
677,3.5107349491897137,90.00000250447816
1683,4.258658805996093,-135.00000398408832
2358,4.258658805996093,-45.00000830979934
333,4.258658805996093,45.00000125223908
1008,4.258658805996093,135.00000034162267
1494,6.1860267723128555,-163.64367268372243
1912,6.1860267723128555,-106.35633528445425
2169,6.1860267723128555,-73.64366334905509
2587,6.1860267723128555,-16.356325949786907
144,6.1860267723128555,16.356329137510404
562,6.1860267723128555,73.64367336696776
819,6.1860267723128555,106.35633164198858
1237,6.1860267723128555,163.64366904125677
1684,7.3070704165421025,-135.00000398408832
2359,7.3070704165421025,-45.00000830979934
334,7.3070704165421025,45.00000125223908
1009,7.3070704165421025,135.00000034162267
1353,8.818622869490836,-179.99999499104368
2028,8.818622869490836,-89.99999931675467
2,8.818622869490836,0.0
678,8.818622869490836,90.00000250447816
1553,9.295995889640428,-155.81120789452368
1853,9.295995889640428,-114.18878641327467
2228,9.295995889640428,-65.81121222023467
2528,9.295995889640428,-24.188777078607327
203,9.295995889640428,24.18879051161458
503,9.295995889640428,65.811208577769
878,9.295995889640428,114.18878960099816
1178,9.295995889640428,155.811204252058
1685,10.643622948735208,-135.00000398408832
2360,10.643622948735208,-45.00000830979934
335,10.643622948735208,45.00000125223908
1010,10.643622948735208,135.00000034162267
1447,11.876739325073787,-170.08388537288414
1959,11.876739325073787,-99.91612259529253
2122,11.876739325073787,-80.0838760382168
2634,11.876739325073787,-9.916113260625202
97,11.876739325073787,9.916116448348703
609,11.876739325073787,80.08388605612946
772,11.876739325073787,99.91611895282686
1284,11.876739325073787,170.08388173041845
1588,12.67659118914907,-151.28236900307667
1818,12.67659118914907,-118.71761164434332
2263,12.67659118914907,-61.282386989166014
2493,12.67659118914907,-28.71762963043266
238,12.67659118914907,28.71762598796699
468,12.67659118914907,61.28237651651118
913,12.67659118914907,118.717621662256
1143,12.67659118914907,151.28237902098934
1686,14.178898127282544,-135.00000398408832
2361,14.178898127282544,-45.00000830979934
336,14.178898127282544,45.00000125223908
1011,14.178898127282544,135.00000034162267
1354,14.855980756121431,-179.99999499104368
2029,14.855980756121431,-89.99999931675467
3,14.855980756121431,0.0
679,14.855980756121431,90.00000250447816
1496,15.212444913809811,-163.5779252827719
1910,15.212444913809811,-106.42206902502645
2171,15.212444913809811,-73.57792960848289
2585,15.212444913809811,-16.42208701111579
146,15.212444913809811,16.42207824600824
560,15.212444913809811,73.57791913582805
821,15.212444913809811,106.42207904293912
1235,15.212444913809811,163.57792164030622
1610,16.244647006844232,-148.34060652755218
1796,16.244647006844232,-121.65940144062449
2285,16.244647006844232,-58.34059719288484
2471,16.244647006844232,-31.659392105957153
260,16.244647006844232,31.659391878586067
446,16.244647006844232,58.340607210797515
935,16.244647006844232,121.65939779815882
1121,16.244647006844232,148.3406028850865
1687,17.86072952862449,-135.00000398408832
2362,17.86072952862449,-45.00000830979934
337,17.86072952862449,45.00000125223908
1012,17.86072952862449,135.00000034162267
1426,18.112503961809498,-172.86739236533944
1980,18.112503961809498,-97.1326019424589
2101,18.112503961809498,-82.86739669105043
2655,18.112503961809498,-7.132592607791566
76,18.112503961809498,7.132604760138351
630,18.112503961809498,82.86739304858476
751,18.112503961809498,97.1326051301824
1305,18.112503961809498,172.86738872287376
1532,18.743119959951144,-159.01959363448879
1874,18.743119959951144,-110.98040067330956
2207,18.743119959951144,-69.01959796019977
2549,18.743119959951144,-20.980418659398897
182,18.743119959951144,20.980408186744057
524,18.743119959951144,69.0195943177341
857,18.743119959951144,110.98041069122222
1199,18.743119959951144,159.0195899920231
1622,19.952027584550258,-146.27633211507757
1784,19.952027584550258,-123.72367585309911
2297,19.952027584550258,-56.27632278041023
2459,19.952027584550258,-33.72366651843177
272,19.952027584550258,33.72366629106068
434,19.952027584550258,56.2763327983229
947,19.952027584550258,123.72367221063344
1109,19.952027584550258,146.2763284726119
1355,21.28053523661088,-179.99999499104368
2030,21.28053523661088,-89.99999931675467
4,21.28053523661088,0.0
680,21.28053523661088,90.00000250447816
1467,21.57079607822162,-167.5454455678489
1939,21.57079607822162,-102.45454873994944
2142,21.57079607822162,-77.54544989355989
2614,21.57079607822162,-12.454539405282102
117,21.57079607822162,12.454547715647479
589,21.57079607822162,77.5454530812834
792,21.57079607822162,102.45454509748377
1264,21.57079607822162,167.54545558576157
1688,21.65661057495366,-135.00000398408832
2363,21.65661057495366,-45.00000830979934
338,21.65661057495366,45.00000125223908
1013,21.65661057495366,135.00000034162267
1557,22.419416346744438,-155.65853950619555
